location_easting_osgr,location_northing_osgr,longitude,latitude,day_of_week,first_road_class,speed_limit,second_road_class,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,urban_or_rural_area,time_slot,vehicle_type,sex_of_driver,age_band_of_driver,engine_capacity_cc,driver_home_area_type
530269.447,181699.411,-0.1238212,51.5192025,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
530129.81,181601.406,-0.1258688,51.5183539,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
530334.229,181747.64,-0.1228702,51.519621,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
530269.447,181699.411,-0.1238212,51.5192025,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
530382.171,181780.962,-0.1221673,51.5199094,2,4,32,5,1,1,1,0,1,8,9,1,7,1390,3
530334.229,181747.64,-0.1228702,51.519621,2,4,32,5,1,1,1,0,1,8,9,1,7,1390,3
530740.173,181048.482,-0.1172819,51.51324409999999,2,5,32,4,1,1,1,0,1,8,9,1,7,1390,3
530382.171,181780.962,-0.1221673,51.5199094,2,5,32,4,1,1,1,0,1,8,9,1,7,1390,3
530619.582,180831.001,-0.1190993,51.5113175,2,4,32,5,1,1,1,0,1,8,9,1,7,1390,3
530740.173,181048.482,-0.1172819,51.51324409999999,2,4,32,5,1,1,1,0,1,8,9,1,7,1390,3
531011.733,180156.188,-0.1137021,51.5051624,2,5,32,4,1,1,1,0,1,8,9,1,7,1390,3
530619.582,180831.001,-0.1190993,51.5113175,2,5,32,4,1,1,1,0,1,8,9,1,7,1390,3
532654.86,180161.841,-0.09003889999999999,51.50483029999999,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
531011.733,180156.188,-0.1137021,51.5051624,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
532800.873,180505.981,-0.08780679999999999,51.5078887,2,3,0,5,1,1,1,0,1,8,9,1,7,1390,3
532654.86,180161.841,-0.09003889999999999,51.50483029999999,2,3,32,5,1,1,1,0,1,8,9,1,7,1390,3
